Cost,Location,Provider,Rooms,Metres,Url
1158 Ä,"Oeverseestraﬂe 7, Altona - Nord, Hamburg (22769)",International Campus GmbH,1 Zimmer,33 m2,https://www.immowelt.de/expose/a57342a4-09ff-4e99-a293-3326552c8a47
1210 Ä,"Oeverseestraﬂe 7, Altona - Nord, Hamburg (22769)",International Campus GmbH,1 Zimmer,44 m2,https://www.immowelt.de/expose/0393d172-9a81-4e84-92e5-f7d02b514082
1445 Ä,"Langenfelder Straﬂe 4, Altona - Nord, Hamburg (22769)",KvB Immobilien GmbH ,2 Zimmer,"53,5 m2",https://www.immowelt.de/expose/fb0c9a0a-6aff-4a07-99a1-1bb5859cf142
1400 Ä,"Palmaille 35, Altona - Altstadt, Hamburg (22767)",von privat,2 Zimmer,67 m2,https://www.immowelt.de/expose/be3a0835-cc2b-478f-afd3-0649703e6dd7
1900 Ä,"Carl-Cohn Str, Alsterdorf, Hamburg (22297)",HOMELIKE INTERNET GmbH,2 Zimmer,60 m2,https://www.immowelt.de/expose/2e9c76cb-84c2-4192-8dad-b9a40a5d4d70
2200 Ä,"Missundestraﬂe, Altona - Nord, Hamburg (22769)",HOMELIKE INTERNET GmbH,2 Zimmer,70 m2,https://www.immowelt.de/expose/d5e18ebb-0c79-4421-97e9-f9fceacfd72a
1500 Ä,"Oelkersallee, Altona - Nord, Hamburg (22769)",HOMELIKE INTERNET GmbH,1 Zimmer,60 m2,https://www.immowelt.de/expose/7ad85ef9-a706-4968-900e-d2e39e3b03be
2700 Ä,"Palmaille, Altona - Altstadt, Hamburg (22767)",HOMELIKE INTERNET GmbH,2 Zimmer,52 m2,https://www.immowelt.de/expose/c8f76adc-af4f-4551-bfc6-abb7f613b14a
1950 Ä,"Orchideenstieg, Alsterdorf, Hamburg (22297)",City-Wohnen,3 Zimmer,80 m2,https://www.immowelt.de/expose/8739c891-adf4-4b19-9e5f-85685e20119b
2248 Ä,"Hospitalstraﬂe, Altona - Altstadt, Hamburg (22767)",City-Wohnen,2 Zimmer,65 m2,https://www.immowelt.de/expose/439aba9b-2485-492d-aae0-636e0b334f0c
1800 Ä,"Schwalbenstraﬂe, Barmbek - Nord, Hamburg (22305)",City-Wohnen,3 Zimmer,67 m2,https://www.immowelt.de/expose/0c981cc9-2c09-4804-a7f5-348caf69e9a4
1450 Ä,"Isebekstraﬂe, Altona - Nord, Hamburg (22769)",City-Wohnen,1 Zimmer,36 m2,https://www.immowelt.de/expose/b9c5c653-83e7-48fb-af95-eebd5a1a93ca
3750 Ä,"Thadenstraﬂe, Altona - Altstadt, Hamburg (22767)",City-Wohnen,4 Zimmer,140 m2,https://www.immowelt.de/expose/d0ce8fc2-247d-4116-8d51-17422a6b6e92
600 Ä,"Alsterdorfer Straﬂe 335, Alsterdorf, Hamburg (22297)",ohne-makler.net - Immobilien selbst vermarkten,1 Zimmer,"27,4 m2",https://www.immowelt.de/expose/4836a011-d571-460f-8eb0-f17b16a595a2
2600 Ä,"Bl¸cherstraﬂe, Altona - Altstadt, Hamburg (22767)",City-Wohnen,3 Zimmer,85 m2,https://www.immowelt.de/expose/f555523f-43de-42d4-b9ba-7966a4f86f1b
2200 Ä,"Stresemannstraﬂe, Altona - Nord, Hamburg (22769)",City-Wohnen,3 Zimmer,107 m2,https://www.immowelt.de/expose/4bde72b6-e22e-483d-8e68-2b06336e65a3
1500 Ä,"Langenfelder Straﬂe, Altona - Nord, Hamburg (22769)",City-Wohnen,2 Zimmer,50 m2,https://www.immowelt.de/expose/f9edb557-7609-4e05-9869-f4dce655163d
2675 Ä,"Maienweg, Alsterdorf, Hamburg (22297)",HOMELIKE INTERNET GmbH,2 Zimmer,52 m2,https://www.immowelt.de/expose/47bf4dcd-92ee-494e-acd0-f15ed08f570b
1300 Ä,"Hospitalstraﬂe, Altona - Altstadt, Hamburg (22767)",von privat,50 m≤,frei ab 01.01.2025,https://www.immowelt.de/expose/349fd986-aabe-4d9f-95ac-7df53b5f0f1a
3100 Ä,"Barmbek - Nord, Hamburg-Barmbek (22307)",Rathjens & Mandellas Immobilien GmbH,3 Zimmer,"144,4 m2",https://www.immowelt.de/expose/0363535e-7d69-4c27-bbfa-172fd0f80cc5
950 Ä,"Altona - Altstadt, Hamburg-Altona-Nord (22765)",Rathjens & Mandellas Immobilien GmbH,1 Zimmer,33 m2,https://www.immowelt.de/expose/88c7aaa2-4b03-4015-9425-af6801015fdb
592 Ä,"Alsterdorf, Hamburg (22297)",Wullkopf&Eckelmann Immobilien GmbH & Co. KG,1 Zimmer,"29,6 m2",https://www.immowelt.de/expose/2f63c3ab-1a30-4e93-86be-e88c783c2051
594 Ä,"Alsterdorf, Hamburg (22297)",Wullkopf&Eckelmann Immobilien GmbH & Co. KG,1 Zimmer,"29,7 m2",https://www.immowelt.de/expose/6e3d00e0-5a7b-4fdc-8939-5234275e31fc
592 Ä,"Alsterdorf, Hamburg (22297)",Wullkopf&Eckelmann Immobilien GmbH & Co. KG,1 Zimmer,"29,6 m2",https://www.immowelt.de/expose/6e4849e8-0054-499a-98d2-0d3f1f534b5d
536 Ä,"Alsterdorf, Hamburg (22297)",Wullkopf&Eckelmann Immobilien GmbH & Co. KG,1 Zimmer,"26,8 m2",https://www.immowelt.de/expose/4beccf21-bd23-4dc7-a11f-cb4318acde93
610 Ä,"Alsterdorf, Hamburg (22297)",Wullkopf&Eckelmann Immobilien GmbH & Co. KG,1 Zimmer,"30,5 m2",https://www.immowelt.de/expose/24474fa0-6d42-4607-bc8a-5125cef9560a
592 Ä,"Alsterdorf, Hamburg (22297)",Wullkopf&Eckelmann Immobilien GmbH & Co. KG,1 Zimmer,"29,6 m2",https://www.immowelt.de/expose/9a16c280-4a4f-4c85-8ce6-82a0eab436d0
592 Ä,"Alsterdorf, Hamburg (22297)",Wullkopf&Eckelmann Immobilien GmbH & Co. KG,1 Zimmer,"29,6 m2",https://www.immowelt.de/expose/e7a459b3-d923-496d-bd62-46fec034e956
592 Ä,"Alsterdorf, Hamburg (22297)",Wullkopf&Eckelmann Immobilien GmbH & Co. KG,1 Zimmer,"29,6 m2",https://www.immowelt.de/expose/a3587060-41fd-4a6e-9899-a52690611d9a
592 Ä,"Alsterdorf, Hamburg (22297)",Wullkopf&Eckelmann Immobilien GmbH & Co. KG,1 Zimmer,"29,6 m2",https://www.immowelt.de/expose/df929d31-70af-403d-a866-194eb8c97678
582 Ä,"Alsterdorf, Hamburg (22297)",Wullkopf&Eckelmann Immobilien GmbH & Co. KG,1 Zimmer,"29,1 m2",https://www.immowelt.de/expose/12b57272-b1da-411f-bcd6-3f7a7c94c118
958 Ä,"Alsterdorf, Hamburg (22297)",Wullkopf&Eckelmann Immobilien GmbH & Co. KG,2 Zimmer,"50,4 m2",https://www.immowelt.de/expose/c516248d-fc1a-4e9f-bbf5-4e6339f598a3
2359 Ä,"Alsterdorf, Hamburg (22297)",Wullkopf&Eckelmann Immobilien GmbH & Co. KG,4 Zimmer,"127,5 m2",https://www.immowelt.de/expose/bb9841a5-4081-4b56-a179-319c72065099
895 Ä,"Alsterdorf, Hamburg (22297)",Wullkopf&Eckelmann Immobilien GmbH & Co. KG,2 Zimmer,"47,1 m2",https://www.immowelt.de/expose/9d66f0ef-fc50-4b38-9c32-c4f72854e612
582 Ä,"Alsterdorf, Hamburg (22297)",Wullkopf&Eckelmann Immobilien GmbH & Co. KG,1 Zimmer,"29,1 m2",https://www.immowelt.de/expose/8a61c325-d262-437d-9b05-6c39367ac1ad
634 Ä,"Alsterdorf, Hamburg (22297)",Wullkopf&Eckelmann Immobilien GmbH & Co. KG,1 Zimmer,"31,7 m2",https://www.immowelt.de/expose/bc052f94-c780-41ec-9887-b5872b1d2104
592 Ä,"Alsterdorf, Hamburg (22297)",Wullkopf&Eckelmann Immobilien GmbH & Co. KG,1 Zimmer,"29,6 m2",https://www.immowelt.de/expose/4de13de5-ce57-4599-bde7-7939faf24a74
636 Ä,"Alsterdorf, Hamburg (22297)",Wullkopf&Eckelmann Immobilien GmbH & Co. KG,1 Zimmer,"31,8 m2",https://www.immowelt.de/expose/56246afa-3609-418e-afa0-821fe4a65ec7
895 Ä,"Alsterdorf, Hamburg (22297)",Wullkopf&Eckelmann Immobilien GmbH & Co. KG,2 Zimmer,"47,1 m2",https://www.immowelt.de/expose/3e06d542-0054-45d4-b4fb-b63b0958fb61
950 Ä,"Barmbek - Nord, Hamburg (22305)",ohne-makler.net - Immobilien selbst vermarkten,2 Zimmer,51 m2,https://www.immowelt.de/expose/5eae3484-e82b-40bd-9c85-0f362651e3f8
850 Ä,"Rathenaustraﬂe 232, Alsterdorf, Hamburg (22337)",EB IMMOBILIENMANAGEMENT GmbH,2 Zimmer,"52,1 m2",https://www.immowelt.de/expose/932ac972-8f9f-4631-8ddf-2e99ec0b7162
1250 Ä,"Bramfelder Chaussee 67, Barmbek - Nord, Hamburg / Bramfeld (22177)",Brandt Immobilien,2 Zimmer,63 m2,https://www.immowelt.de/expose/156c605d-6003-486b-9fdb-33166871bf44
1081 Ä,"Tischbeinstraﬂe 8, Barmbek - Nord, Hamburg (22307)",ohne-makler.net - Immobilien selbst vermarkten,3 Zimmer,70 m2,https://www.immowelt.de/expose/0ac4f5d3-adb4-4e10-983c-9e229c80e020
990 Ä,"Pr‰sident-Krahn-Straﬂe, Altona - Nord, Hamburg (22765)",City-Wohnen,1 Zimmer,22 m2,https://www.immowelt.de/expose/06ca3ebf-32b4-4c97-84af-1f04c575a88c
2300 Ä,"Altona - Altstadt, Hamburg (22767)",Tauschwohnung GmbH,4 Zimmer,122 m2,https://www.immowelt.de/expose/05f683e9-0b17-4af6-b96b-e3bd657505e7
998 Ä,"Altona - Altstadt, Hamburg (22767)",von privat,"3,5 Zimmer",53 m2,https://www.immowelt.de/expose/0f6b6504-eaaf-456e-a3b3-a66eb8f93525
540 Ä,"Alsterdorf, Hamburg (22297)",Wullkopf&Eckelmann Immobilien GmbH & Co. KG,1 Zimmer,27 m2,https://www.immowelt.de/expose/9c3ef615-e07a-4b48-98b9-dfa60f180ce0
642 Ä,"Alsterdorf, Hamburg (22297)",Wullkopf&Eckelmann Immobilien GmbH & Co. KG,1 Zimmer,"32,1 m2",https://www.immowelt.de/expose/30623de6-8e9e-481c-b3a6-7348ae9cc07c
686 Ä,"Alsterdorf, Hamburg (22297)",Wullkopf&Eckelmann Immobilien GmbH & Co. KG,1 Zimmer,"34,3 m2",https://www.immowelt.de/expose/cbb09e00-86b8-4ad0-a1da-de1297e121a8
542 Ä,"Alsterdorf, Hamburg (22297)",Wullkopf&Eckelmann Immobilien GmbH & Co. KG,1 Zimmer,"27,1 m2",https://www.immowelt.de/expose/90aab19e-7aff-41cf-860b-6ac384169dd6
1200 Ä,"Barmbek - Nord, Hamburg (22309)",von privat,3 Zimmer,64 m2,https://www.immowelt.de/expose/eba7df39-68ff-4180-9692-d7150a80bedf
720 Ä,"Altona - Altstadt, Hamburg (20359)",Tauschwohnung GmbH,2 Zimmer,48 m2,https://www.immowelt.de/expose/0a5cef1c-e8b2-4e00-9b6d-9d87e1a50f7a
855 Ä,"Barmbek - Nord, Hamburg (22307)",Tauschwohnung GmbH,2 Zimmer,55 m2,https://www.immowelt.de/expose/ef8fc17b-b55f-4e61-991c-118f1f164882
1450 Ä,"Altona - Altstadt, Hamburg (22767)",Tauschwohnung GmbH,"4,5 Zimmer",116 m2,https://www.immowelt.de/expose/a2c970a6-7fcc-41b6-8cbe-dba88aba429a
1000 Ä,"Altona - Nord, Hamburg (22769)",ohne-makler.net - Immobilien selbst vermarkten,"2,5 Zimmer",50 m2,https://www.immowelt.de/expose/e7d18ac5-d697-4b20-ba53-f77ac6471c4f
520 Ä,"Altona - Altstadt, Hamburg (20359)",Tauschwohnung GmbH,2 Zimmer,55 m2,https://www.immowelt.de/expose/f1322055-6f22-46f6-9d6b-e94866edd904
1929 Ä,"Altona - Nord, Hamburg (20257)",Tauschwohnung GmbH,3 Zimmer,109 m2,https://www.immowelt.de/expose/b92c2a88-6f28-4ee8-aa03-4de63ed5e9c4
700 Ä,"Altona - Nord, Hamburg (22769)",Tauschwohnung GmbH,3 Zimmer,75 m2,https://www.immowelt.de/expose/6b2617b5-9c51-47d8-96f8-f5083dce99bb
1190 Ä,"Altona - Altstadt, Hamburg (22767)",Globalflats UG,1 Zimmer,23 m2,https://www.immowelt.de/expose/61bb0354-5a95-47b7-950c-37c12985822d
1060 Ä,"Altona - Nord, Hamburg (22765)",Tauschwohnung GmbH,2 Zimmer,66 m2,https://www.immowelt.de/expose/f4b809fc-b0b7-4fba-8f40-4e3ade4c6ff2
2000 Ä,"Altona - Altstadt, Hamburg (22765)",von privat,2 Zimmer,90 m2,https://www.immowelt.de/expose/2e2a6d77-0fd8-4b47-9d96-a05e7bbedfd2
4680 Ä,Hamburg-Holzhafen (22767),DAHLER HafenCity ,2 Zimmer,183 m2,https://www.immowelt.de/expose/be8faed0-1b9e-426d-9367-3c1337431db1
711 Ä,"Oldachstr. 31, Barmbek - Nord, Hamburg (22307)",Wentzel Dr. Vertriebs GmbH,3 Zimmer,"68,8 m2",https://www.immowelt.de/expose/877c4caf-f4d6-4e0d-b721-647bfa84b5f6
688 Ä,"Altona - Nord, Hamburg (20249)",Tauschwohnung GmbH,2 Zimmer,55 m2,https://www.immowelt.de/expose/73faae43-5002-4d42-994a-b50bfde80ac0
2390 Ä,"Alte Wˆhr, Barmbek - Nord, Hamburg (22307)",HOMELIKE INTERNET GmbH,2 Zimmer,65 m2,https://www.immowelt.de/expose/3e2a9143-036d-435e-af94-ad428602e325
1449 Ä,"Barmbek - Nord, Hamburg (22305)",Engel & Vˆlkers Hamburg S¸dost Immobilien GmbH,2 Zimmer,53 m2,https://www.immowelt.de/expose/461cda16-5fa4-44ed-8417-249c562728eb
1930 Ä,"Barmbek - Nord, Hamburg (22305)",Engel & Vˆlkers Hamburg S¸dost Immobilien GmbH,2 Zimmer,89 m2,https://www.immowelt.de/expose/5443dd9b-46fe-4f97-bec0-e2dbb4445d71
1489 Ä,"Barmbek - Nord, Hamburg (22305)",Engel & Vˆlkers Hamburg S¸dost Immobilien GmbH,2 Zimmer,"56,5 m2",https://www.immowelt.de/expose/c004cea1-5577-4c16-bf68-7fb8d7c69f2b
1109 Ä,Hamburg (22305), Weiss Immobilien ,1 Zimmer,"36,5 m2",https://www.immowelt.de/expose/f1dc2e03-4ec3-40b5-b733-85f9c27ddd13
1950 Ä,"Missundestraﬂe, Altona - Nord, Hamburg (22769)",City-Wohnen,2 Zimmer,70 m2,https://www.immowelt.de/expose/59077a67-58ab-4eef-a8df-bd571ed9dcd0
2480 Ä,"Kirschenstieg 10, Alsterdorf, Hamburg (22297)",von privat,3 Zimmer,100 m2,https://www.immowelt.de/expose/7b37dea8-c13a-409b-a179-83d9a4773958
592 Ä,"Alsterdorf, Hamburg (22297)",Wullkopf&Eckelmann Immobilien GmbH & Co. KG,1 Zimmer,"29,6 m2",https://www.immowelt.de/expose/450e81b5-a07f-486d-b8b3-9c7aa6230667
536 Ä,"Alsterdorf, Hamburg (22297)",Wullkopf&Eckelmann Immobilien GmbH & Co. KG,1 Zimmer,"26,8 m2",https://www.immowelt.de/expose/99cc051a-1e16-49b3-87ec-7a704c9823f2
2500 Ä,"Breite Straﬂe, Altona - Altstadt, Hamburg (22767)",HOMELIKE INTERNET GmbH,2 Zimmer,66 m2,https://www.immowelt.de/expose/acb3182c-0057-40a8-a7a2-a54b5c48df3d
3400 Ä,"Palmaille, Altona - Altstadt, Hamburg (22767)",HOMELIKE INTERNET GmbH,3 Zimmer,70 m2,https://www.immowelt.de/expose/5892f914-aaab-4da9-b91a-b65e9ca850f8
1995 Ä,"Max-Brauer-Allee, Altona - Altstadt, Hamburg (22769)",City-Wohnen,2 Zimmer,81 m2,https://www.immowelt.de/expose/8aeea1b5-f314-4b94-9188-a4957e79f5d0
3600 Ä,"Brabandstrasse 83, Alsterdorf, Hamburg (22297)",von privat,3 Zimmer,180 m2,https://www.immowelt.de/expose/69a557af-4693-4a58-a7d9-56559bf7dedc
1635 Ä,"Oeverseestraﬂe 7, Altona - Nord, Hamburg (22769)",International Campus GmbH,1 Zimmer,62 m2,https://www.immowelt.de/expose/13ec9223-00b1-4e53-83e5-87fd68e9c9bc
641 Ä,"Habichtsweg 3, Barmbek - Nord, Hamburg (22307)",EB IMMOBILIENMANAGEMENT GmbH,1 Zimmer,87 m2,https://www.immowelt.de/expose/44d39250-378a-484b-80d0-04c611954c54
2400 Ä,"Breite Straﬂe, Altona - Altstadt, Hamburg (22767)",City-Wohnen,2 Zimmer,66 m2,https://www.immowelt.de/expose/131fdc35-3654-478e-aedd-34324d57de4c
,"Gl¸cksburger Straﬂe, Altona - Nord, Hamburg (22769)",von privat,3 Zimmer,74 m2,https://www.immowelt.de/expose/11353a2a-250b-4b2a-a8e6-0ddf0d8fc236
1345 Ä,"Elligersweg 2, Barmbek - Nord, Hamburg (22307)",IFI Falkenried Immobilien Verwaltungs GmbH,3 Zimmer,84 m2,https://www.immowelt.de/expose/e980f3c6-ed05-4d9a-95ac-54125990a864
1541 Ä,"Fuhlsb¸ttler Straﬂe 468, Barmbek - Nord, Hamburg (22309)",Braun Immobilienkontor,3 Zimmer,"87,9 m2",https://www.immowelt.de/expose/7a43b9a0-4e95-436a-94fa-3deb89b40f4a
1312.5 Ä,"Holstenstraﬂe 194c, Altona - Nord, Hamburg (22765)",Mˆhring Immobilien GmbH & Co. KG,"1,5 Zimmer",75 m2,https://www.immowelt.de/expose/215b136e-e17c-486c-8fa6-6b671c58c620
899 Ä,"Hebebrandstr. 2, Barmbek - Nord, Hamburg (22297)",ZBVV - Zentral Boden Vermietung und Verwaltung GmbH,1 Zimmer,"37,4 m2",https://www.immowelt.de/expose/bd2c35dc-4427-4a71-9b27-38f37888224c
1230 Ä,"Oeverseestraﬂe 7, Altona - Nord, Hamburg (22769)",International Campus GmbH,"1,5 Zimmer",44 m2,https://www.immowelt.de/expose/001ee147-98ea-43c7-9e8f-946c24a57c61
1129 Ä,"Oeverseestraﬂe 7, Altona - Nord, Hamburg (22769)",International Campus GmbH,1 Zimmer,37 m2,https://www.immowelt.de/expose/a4938819-bc91-493f-af04-244aa2997523
1158 Ä,"Oeverseestraﬂe 7, Altona - Nord, Hamburg (22769)",International Campus GmbH,1 Zimmer,33 m2,https://www.immowelt.de/expose/c41f2be4-88a4-4b9d-86d5-0eabce4204ef
1178 Ä,"Oeverseestraﬂe 7, Altona - Nord, Hamburg (22769)",International Campus GmbH,1 Zimmer,33 m2,https://www.immowelt.de/expose/45a151ba-11c3-4d3b-a1ff-a1eb19199d1c
917 Ä,"Oeverseestraﬂe 7, Altona - Nord, Hamburg (22769)",International Campus GmbH,1 Zimmer,22 m2,https://www.immowelt.de/expose/3e69df9e-8f9d-4d2f-bb17-d2b17b9e315d
1108 Ä,"Oeverseestraﬂe 7, Altona - Nord, Hamburg (22769)",International Campus GmbH,1 Zimmer,33 m2,https://www.immowelt.de/expose/5e852032-6001-4af1-a8a1-97af3744c5a3
1980 Ä,"Alsterdorfer Strasse 333, Alsterdorf, Hamburg (22297)",von privat,4 Zimmer,101 m2,https://www.immowelt.de/expose/68d99dba-ca3e-44c5-b10d-9cec4c95008e
750 Ä,"Schwalbenplatz 3, Barmbek - Nord, Hamburg (22307)",ohne-makler.net - Immobilien selbst vermarkten,1 Zimmer,40 m2,https://www.immowelt.de/expose/b75d20dd-be1d-44a0-b4e3-a72049770b9e
1158 Ä,"Oeverseestraﬂe 7, Altona - Nord, Hamburg (22769)",International Campus GmbH,1 Zimmer,33 m2,https://www.immowelt.de/expose/14271b32-e355-452d-9183-cbd08554f258
1158 Ä,"Oeverseestraﬂe 7, Altona - Nord, Hamburg (22769)",International Campus GmbH,1 Zimmer,33 m2,https://www.immowelt.de/expose/a57342a4-09ff-4e99-a293-3326552c8a47
1210 Ä,"Oeverseestraﬂe 7, Altona - Nord, Hamburg (22769)",International Campus GmbH,1 Zimmer,44 m2,https://www.immowelt.de/expose/0393d172-9a81-4e84-92e5-f7d02b514082
1445 Ä,"Langenfelder Straﬂe 4, Altona - Nord, Hamburg (22769)",KvB Immobilien GmbH ,2 Zimmer,"53,5 m2",https://www.immowelt.de/expose/fb0c9a0a-6aff-4a07-99a1-1bb5859cf142
1400 Ä,"Palmaille 35, Altona - Altstadt, Hamburg (22767)",von privat,2 Zimmer,67 m2,https://www.immowelt.de/expose/be3a0835-cc2b-478f-afd3-0649703e6dd7
1900 Ä,"Carl-Cohn Str, Alsterdorf, Hamburg (22297)",HOMELIKE INTERNET GmbH,2 Zimmer,60 m2,https://www.immowelt.de/expose/2e9c76cb-84c2-4192-8dad-b9a40a5d4d70
2200 Ä,"Missundestraﬂe, Altona - Nord, Hamburg (22769)",HOMELIKE INTERNET GmbH,2 Zimmer,70 m2,https://www.immowelt.de/expose/d5e18ebb-0c79-4421-97e9-f9fceacfd72a
1500 Ä,"Oelkersallee, Altona - Nord, Hamburg (22769)",HOMELIKE INTERNET GmbH,1 Zimmer,60 m2,https://www.immowelt.de/expose/7ad85ef9-a706-4968-900e-d2e39e3b03be
2700 Ä,"Palmaille, Altona - Altstadt, Hamburg (22767)",HOMELIKE INTERNET GmbH,2 Zimmer,52 m2,https://www.immowelt.de/expose/c8f76adc-af4f-4551-bfc6-abb7f613b14a
1950 Ä,"Orchideenstieg, Alsterdorf, Hamburg (22297)",City-Wohnen,3 Zimmer,80 m2,https://www.immowelt.de/expose/8739c891-adf4-4b19-9e5f-85685e20119b
2248 Ä,"Hospitalstraﬂe, Altona - Altstadt, Hamburg (22767)",City-Wohnen,2 Zimmer,65 m2,https://www.immowelt.de/expose/439aba9b-2485-492d-aae0-636e0b334f0c
1800 Ä,"Schwalbenstraﬂe, Barmbek - Nord, Hamburg (22305)",City-Wohnen,3 Zimmer,67 m2,https://www.immowelt.de/expose/0c981cc9-2c09-4804-a7f5-348caf69e9a4
1450 Ä,"Isebekstraﬂe, Altona - Nord, Hamburg (22769)",City-Wohnen,1 Zimmer,36 m2,https://www.immowelt.de/expose/b9c5c653-83e7-48fb-af95-eebd5a1a93ca
3750 Ä,"Thadenstraﬂe, Altona - Altstadt, Hamburg (22767)",City-Wohnen,4 Zimmer,140 m2,https://www.immowelt.de/expose/d0ce8fc2-247d-4116-8d51-17422a6b6e92
600 Ä,"Alsterdorfer Straﬂe 335, Alsterdorf, Hamburg (22297)",ohne-makler.net - Immobilien selbst vermarkten,1 Zimmer,"27,4 m2",https://www.immowelt.de/expose/4836a011-d571-460f-8eb0-f17b16a595a2
2600 Ä,"Bl¸cherstraﬂe, Altona - Altstadt, Hamburg (22767)",City-Wohnen,3 Zimmer,85 m2,https://www.immowelt.de/expose/f555523f-43de-42d4-b9ba-7966a4f86f1b
2200 Ä,"Stresemannstraﬂe, Altona - Nord, Hamburg (22769)",City-Wohnen,3 Zimmer,107 m2,https://www.immowelt.de/expose/4bde72b6-e22e-483d-8e68-2b06336e65a3
1500 Ä,"Langenfelder Straﬂe, Altona - Nord, Hamburg (22769)",City-Wohnen,2 Zimmer,50 m2,https://www.immowelt.de/expose/f9edb557-7609-4e05-9869-f4dce655163d
2675 Ä,"Maienweg, Alsterdorf, Hamburg (22297)",HOMELIKE INTERNET GmbH,2 Zimmer,52 m2,https://www.immowelt.de/expose/47bf4dcd-92ee-494e-acd0-f15ed08f570b
1300 Ä,"Hospitalstraﬂe, Altona - Altstadt, Hamburg (22767)",von privat,50 m≤,frei ab 01.01.2025,https://www.immowelt.de/expose/349fd986-aabe-4d9f-95ac-7df53b5f0f1a
3100 Ä,"Barmbek - Nord, Hamburg-Barmbek (22307)",Rathjens & Mandellas Immobilien GmbH,3 Zimmer,"144,4 m2",https://www.immowelt.de/expose/0363535e-7d69-4c27-bbfa-172fd0f80cc5
950 Ä,"Altona - Altstadt, Hamburg-Altona-Nord (22765)",Rathjens & Mandellas Immobilien GmbH,1 Zimmer,33 m2,https://www.immowelt.de/expose/88c7aaa2-4b03-4015-9425-af6801015fdb
